39,5046228,2523,126
44,9170374,4585,229
67,1553476,777,39
23,3102218,1551,78
6,2114645,1057,53
74,5811469,2906,145
13,8730738,4365,218
51,7081024,3541,177
81,5155845,2578,129
84,8182783,4091,205
26,7670134,3835,192
40,3312038,1656,83
22,1403797,702,35
96,4656425,2328,116
17,8309660,4155,208
63,4970465,2485,124
24,3134342,1567,78
43,7298042,3649,182
38,1639056,820,41
18,4864020,2432,122
52,4249178,2125,106
92,208365,104,5
66,466008,233,12
87,503232,252,13
79,9659042,4830,241
93,1939120,970,48
37,4444587,2222,111
77,9575541,4788,239
57,4990950,2495,125
2,7840623,3920,196
78,2384958,1192,60
27,8058558,4029,201
42,9867459,4934,247
28,5577225,2789,139
91,3191179,1596,80
85,785978,393,20
4,336761,168,8
3,2694455,1347,67
72,3547855,1774,89
47,4579942,2290,114
61,9750855,4875,244
80,50184,25,1
95,186330,93,5
16,1014639,507,25
71,9817244,4909,245
60,9737615,4869,243
48,1664915,832,42
15,1416705,708,35
32,5195892,2598,130
99,223058,112,6
68,4493865,2247,112
100,3503989,1752,88
86,4647322,2324,116
35,5267605,2634,132
41,8984148,4492,225
88,5252377,2626,131
14,3839722,1920,96
8,8491128,4246,212
64,1970126,985,49
54,7910453,3955,198
65,7550088,3775,189
62,7501905,3751,188
20,5727866,2864,143
82,5931064,2966,148
45,3676856,1838,92
25,3660156,1830,92
7,8525384,4263,213
11,2987144,1494,75
89,3449241,1725,86
90,661278,331,17
49,8725395,4363,218
97,5493523,2747,137
19,3446384,1723,86
33,4963118,2482,124
36,4021491,2011,101
75,3137223,1569,78
59,9303132,4652,233
69,5865680,2933,147
73,2978111,1489,74
53,6773877,3387,169
31,2864869,1432,72
70,5975001,2988,149
21,6008935,3004,150
34,3100413,1550,78
50,9748086,4874,244
76,8011920,4006,200
12,908544,454,23
58,3035837,1518,76
29,3831732,1916,96
30,5062179,2531,127
1,8402453,4201,210
83,5002628,2501,125
9,3588793,1794,90
55,1183319,592,30
56,9346067,4673,234
46,2879376,1440,72
10,4397067,2199,110
5,8562684,4281,214
98,7700995,3850,193
94,7012936,3506,175
